?dev	?nombre
<http://example.org/videojuegos#D_cgndc>	CGNDC
<http://example.org/videojuegos#D_softweir_inc>	SoftWeir Inc.
<http://example.org/videojuegos#D_edybtt_studios>	edybtt Studios
<http://example.org/videojuegos#D_lebbi>	Lebbi
<http://example.org/videojuegos#D_yjkc>	yjkc
<http://example.org/videojuegos#D_zero_day_games>	Zero Day Games
<http://example.org/videojuegos#D_colorfiction>	Colorfiction
<http://example.org/videojuegos#D_half_phai>	Half/Phai
<http://example.org/videojuegos#D_sandstrom>	Sandstrom
<http://example.org/videojuegos#D_idleclick_games>	IdleClick Games
<http://example.org/videojuegos#D_kuko>	KuKo
<http://example.org/videojuegos#D_eightyeightgames>	EightyEightGames
<http://example.org/videojuegos#D_brandon_brizzi>	Brandon Brizzi
<http://example.org/videojuegos#D_banjo_toad_studio>	Banjo Toad Studio
<http://example.org/videojuegos#D_redzyrro>	RedZyrro
<http://example.org/videojuegos#D_dancing_dots>	Dancing Dots
<http://example.org/videojuegos#D_ltzinc>	LTZinc
<http://example.org/videojuegos#D_u_45a4ad62c9f2>	琴研 Ginyan
<http://example.org/videojuegos#D_sunfish>	Sunfish
<http://example.org/videojuegos#D_aigul_aubanova>	Aigul Aubanova
