?juego	?nombre
<http://example.org/videojuegos#V_03>	"03"
<http://example.org/videojuegos#V_1001_nights>	"1001 Nights"
<http://example.org/videojuegos#V_100_caliber_dash>	"100 Caliber Dash"
<http://example.org/videojuegos#V_100_lives>	"100 Lives"
<http://example.org/videojuegos#V_112_operator_call_editor>	"112 Operator - Call Editor"
<http://example.org/videojuegos#V_13_sentinels_aegis_rim>	"13 Sentinels: Aegis Rim"
<http://example.org/videojuegos#V_13z>	"13Z"
<http://example.org/videojuegos#V_1971>	"1971"
<http://example.org/videojuegos#V_1984>	"1984"
<http://example.org/videojuegos#V_198x>	"198X"
<http://example.org/videojuegos#V_2nd_eve>	"2nd Eve"
<http://example.org/videojuegos#V_2urvive>	"2urvive"
<http://example.org/videojuegos#V_7_days>	"7 Days"
<http://example.org/videojuegos#V_7th_sign_project>	"7th Sign Project"
<http://example.org/videojuegos#V_8_days>	"8 Days"
<http://example.org/videojuegos#V_8_to_glory>	"8 to Glory"
<http://example.org/videojuegos#V_8days>	"8Days"
<http://example.org/videojuegos#V_a_byte_war>	A Byte War
<http://example.org/videojuegos#V_a_catchy_game_intratag>	A Catchy Game: IntraTag
<http://example.org/videojuegos#V_a_certain_magical_virtualon>	A Certain Magical Virtual-On
